CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
1,0,0,0,0,189,0,0,3
1,0,0,0,0,181,0,0,5
1,0,0,0,0,181,0,0,4
0,0,0,0,0,186,0,0,0
2,0,0,0,0,188,0,0,1
7,0,0,0,3,187,0,0,1
1,0,0,0,0,183,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,180,0,0,1
2,0,0,0,0,182,0,0,1
1,0,0,0,0,179,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,179,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,181,0,0,1
2,0,0,0,0,181,0,0,1
1,0,0,0,0,183,0,0,1
1,0,0,0,0,183,0,0,1
1,0,0,0,0,183,0,0,1
1,0,0,0,0,183,0,0,1
1,0,0,0,0,181,0,0,1
3,0,0,0,0,181,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,179,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,181,0,0,1
2,0,0,0,0,179,0,0,1
1,0,0,0,0,179,0,0,1
1,0,0,0,0,180,0,0,1
1,0,0,0,0,180,0,0,1
1,0,0,0,0,179,0,0,1
1,0,0,0,0,181,0,0,1
2,0,0,0,0,183,0,0,1
1,0,0,0,0,187,0,0,1
1,0,0,0,0,179,0,0,1
1,0,0,0,0,185,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,181,0,0,1
2,0,0,0,0,179,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,179,0,0,1
